,Номер машины,Название машины,Тип машины,Коробка передач,Привод,Мощность двигателя (в л.с.),Объём двигателя (в литрах),Тип топлива,Цвет
6088,В568ЕС_07,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,чёрный
6089,Х920КВ_28,Infiniti QX80 I Рестайлинг,внедорожник,автомат,полный,405,5.6,Бензин,чёрный
6090,Т298АА_93,Ford Ranger II,пикап,механика,полный,143,2.3,Бензин,чёрный
6091,У062ВХ_70,Hyundai i30 N,хэтчбек,механика,передний,249,2.0,Бензин,пурпурный
6092,О360МН_69,Tesla Model S 60 I,лифтбек,Заряд на 338 км,задний,222,302,Электро,чёрный
6093,К213ХВ_35,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,чёрный
6094,О932ТВ_50,Haval H9 I Рестайлинг,внедорожник,автомат,полный,190,2.0,Дизель,чёрный
6095,У842УВ_84,Mercedes-Benz V-Класс XL 250 d экстра длинный II,минивэн,автомат,полный,190,2.1,Дизель,чёрный
6096,Т979СО_29,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,синий
6097,У459КЕ_21,Mazda CX-5 I,внедорожник,автомат,передний,150,2.0,Бензин,синий
6098,Т826ХК_77,Volkswagen Polo V,седан,механика,передний,105,1.6,Бензин,чёрный
6099,У370МВ_71,Kia Soul II,хэтчбек,автомат,передний,124,1.6,Бензин,чёрный
6100,А510ТТ_56,Kia K5 III,седан,автомат,передний,194,2.5,Бензин,чёрный
6101,Н495ЕВ_88,Hyundai Sonata VIII (DN8),седан,автомат,передний,180,2.5,Бензин,серый
6102,Х203РВ_33,Nissan X-Trail III Рестайлинг,внедорожник,вариатор,передний,144,2.0,Бензин,серый
6103,А764АЕ_95,Volkswagen Polo VI,лифтбек,робот,передний,125,1.4,Бензин,синий
6104,У362ЕХ_84,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,пурпурный
6105,А874ЕВ_78,Subaru Forester III Рестайлинг,внедорожник,автомат,полный,150,2.0,Бензин,белый
6106,Е024СН_41,Porsche Macan I Рестайлинг,внедорожник,робот,полный,252,2.0,Бензин,синий
6107,М820ЕВ_17,Honda CR-V III Рестайлинг,внедорожник,автомат,полный,166,2.4,Бензин,чёрный
6108,Р590ВО_29,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,чёрный
6109,У828МК_36,Genesis GV80 I,внедорожник,автомат,полный,249,2.5,Бензин,синий
6110,С596НМ_19,Porsche Macan S I,внедорожник,робот,полный,340,3.0,Бензин,белый
6111,У084ТА_07,BMW 8 серии 840d xDrive II (G14/G15/G16),купе,автомат,полный,320,3.0,Дизель,серый
6112,Р234ВУ_28,Volkswagen Tiguan II Рестайлинг,внедорожник,механика,передний,125,1.4,Бензин,синий
6113,М413ОМ_18,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,синий
6114,Т007УВ_68,Toyota Alphard II,минивэн,автомат,передний,275,3.5,Бензин,белый
6115,С621СУ_63,Infiniti QX30,внедорожник,робот,полный,211,2.0,Бензин,белый
6116,А212КЕ_53,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,пурпурный
6117,О143ОА_70,Toyota Sienna III,минивэн,автомат,передний,266,3.5,Бензин,синий
6118,У664ВР_34,BMW 4 серии Gran Coupe 420d F32/F33/F36 Рестайлинг,лифтбек,автомат,задний,190,2.0,Дизель,чёрный
6119,Р362РА_68,Nissan Terrano III (D10),внедорожник,механика,полный,135,2.0,Бензин,чёрный
6120,В674СР_68,Mercedes-Benz Maybach S-Класс 560 I (X222) Рестайлинг,седан,автомат,полный,469,4.0,Бензин,синий
6121,В988КО_68,Lamborghini Huracán,родстер,робот,полный,610,5.2,Бензин,серый
6122,Р264ОН_98,Nissan X-Trail III,внедорожник,вариатор,полный,144,2.0,Бензин,чёрный
6123,С727МК_09,LADA (ВАЗ) Vesta SW I,универсал,робот,передний,122,1.8,Бензин,синий
6124,Х006ЕЕ_81,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
6125,С645МВ_85,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,пурпурный
6126,С622МУ_76,Skoda Octavia IV (A8),лифтбек,автомат,передний,150,1.4,Бензин,белый
6127,К421ОН_04,Ford Ranger II,пикап,механика,полный,143,2.3,Бензин,чёрный
6128,М739РТ_82,Infiniti QX80 I Рестайлинг,внедорожник,автомат,полный,405,5.6,Бензин,чёрный
6129,В626УХ_72,Hyundai i30 N,хэтчбек,механика,передний,249,2.0,Бензин,серый
6130,Р683ВМ_66,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
6131,А659КР_89,Tesla Model S 60 I,лифтбек,Заряд на 338 км,задний,222,302,Электро,серый
6132,Р286ОР_71,Haval H9 I Рестайлинг,внедорожник,автомат,полный,190,2.0,Дизель,чёрный
6133,М021МО_57,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,белый
6134,А710НУ_24,Mazda CX-5 I,внедорожник,автомат,передний,150,2.0,Бензин,серый
6135,О657ТВ_89,Mercedes-Benz V-Класс XL 250 d экстра длинный II,минивэн,автомат,полный,190,2.1,Дизель,чёрный
6136,К190КК_83,Volkswagen Polo V,седан,механика,передний,105,1.6,Бензин,чёрный
6137,Р680ЕУ_97,Kia K5 III,седан,автомат,передний,194,2.5,Бензин,серый
6138,А792ОА_28,Kia Soul II,хэтчбек,автомат,передний,124,1.6,Бензин,чёрный
6139,В608ЕО_31,Hyundai Sonata VIII (DN8),седан,автомат,передний,180,2.5,Бензин,серый
6140,Е741ХР_31,Chevrolet Cobalt II Рестайлинг,седан,автомат,передний,106,1.5,Бензин,серый
6141,А174ЕУ_92,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
6142,В174СО_76,Subaru Forester III Рестайлинг,внедорожник,автомат,полный,150,2.0,Бензин,белый
6143,Р654КО_65,Porsche Macan I Рестайлинг,внедорожник,робот,полный,252,2.0,Бензин,синий
6144,М252ОМ_94,Honda CR-V III Рестайлинг,внедорожник,автомат,полный,166,2.4,Бензин,чёрный
6145,М517МО_77,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,белый
6146,Х814ОУ_21,Genesis GV80 I,внедорожник,автомат,полный,249,2.5,Бензин,синий
6147,Р068ВХ_82,BMW 8 серии 840d xDrive II (G14/G15/G16),купе,автомат,полный,320,3.0,Дизель,серый
6148,А196СМ_30,Volkswagen Tiguan II Рестайлинг,внедорожник,механика,передний,125,1.4,Бензин,синий
6149,Е022ТВ_55,Toyota Alphard II,минивэн,автомат,передний,275,3.5,Бензин,белый
6150,Н065АМ_93,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,чёрный
6151,Р117АО_59,Infiniti QX30,внедорожник,робот,полный,211,2.0,Бензин,белый
6152,Т550ХН_64,Toyota Sienna III,минивэн,автомат,передний,266,3.5,Бензин,серый
6153,А013НТ_59,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,пурпурный
6154,Е304РА_03,BMW 4 серии Gran Coupe 420d F32/F33/F36 Рестайлинг,лифтбек,автомат,задний,190,2.0,Дизель,пурпурный
6155,М119ВР_32,Nissan Terrano III (D10),внедорожник,механика,полный,135,2.0,Бензин,чёрный
6156,К565МВ_17,Mercedes-Benz Maybach S-Класс 560 I (X222) Рестайлинг,седан,автомат,полный,469,4.0,Бензин,синий
6157,О269МЕ_74,Nissan X-Trail III,внедорожник,вариатор,полный,144,2.0,Бензин,чёрный
6158,У628УА_35,LADA (ВАЗ) Vesta SW I,универсал,робот,передний,122,1.8,Бензин,белый
6159,О854ЕТ_65,Skoda Octavia IV (A8),лифтбек,автомат,передний,150,1.4,Бензин,белый
6160,У923ТР_46,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
6161,Р215НВ_31,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,белый
6162,Н878ВО_78,Ford Ranger II,пикап,механика,полный,143,2.3,Бензин,чёрный
6163,Е741АО_75,Infiniti QX80 I Рестайлинг,внедорожник,автомат,полный,405,5.6,Бензин,чёрный
6164,Х494МО_63,Hyundai i30 N,хэтчбек,механика,передний,249,2.0,Бензин,чёрный
6165,Т834ММ_34,Tesla Model S 60 I,лифтбек,Заряд на 338 км,задний,222,302,Электро,чёрный
6166,Н600ЕМ_64,BMW X5 M III (F95),внедорожник,автомат,полный,600,4.4,Бензин,чёрный
6167,У731МА_42,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,чёрный
6168,А208СР_51,Haval H9 I Рестайлинг,внедорожник,автомат,полный,190,2.0,Дизель,чёрный
6169,Р046МК_72,Mazda CX-5 I,внедорожник,автомат,передний,150,2.0,Бензин,синий
6170,Р827ВА_49,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
6171,Т737НН_91,Mercedes-Benz V-Класс XL 250 d экстра длинный II,минивэн,автомат,полный,190,2.1,Дизель,чёрный
6172,Е125НН_48,Volkswagen Polo V,седан,механика,передний,105,1.6,Бензин,чёрный
6173,Е170ХХ_12,Kia Soul II,хэтчбек,автомат,передний,124,1.6,Бензин,чёрный
6174,А960ОЕ_02,Kia K5 III,седан,автомат,передний,194,2.5,Бензин,синий
6175,Н636ЕК_19,Hyundai Sonata VIII (DN8),седан,автомат,передний,180,2.5,Бензин,серый
6176,Х766УК_42,Chevrolet Cobalt II Рестайлинг,седан,автомат,передний,106,1.5,Бензин,серый
6177,А304ЕО_18,Volkswagen Polo VI,лифтбек,робот,передний,125,1.4,Бензин,синий
6178,Р493ЕА_81,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
6179,Н851СМ_54,Subaru Forester III Рестайлинг,внедорожник,автомат,полный,150,2.0,Бензин,белый
6180,А256ММ_43,Porsche Macan I Рестайлинг,внедорожник,робот,полный,252,2.0,Бензин,синий
6181,Т598ЕУ_86,Honda CR-V III Рестайлинг,внедорожник,автомат,полный,166,2.4,Бензин,чёрный
6182,Р245СО_17,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,чёрный
6183,С210ОО_62,Genesis GV80 I,внедорожник,автомат,полный,249,2.5,Бензин,синий
6184,М856СУ_49,BMW 8 серии 840d xDrive II (G14/G15/G16),купе,автомат,полный,320,3.0,Дизель,серый
6185,Х071РЕ_76,Volkswagen Tiguan II Рестайлинг,внедорожник,механика,передний,125,1.4,Бензин,синий
6186,Н945ОС_15,Toyota Alphard II,минивэн,автомат,передний,275,3.5,Бензин,белый
